record_id,Date,Line items,Order Shipping,Payment Method,Stripe Fee,Status,Billing Country,Paid Date,Shipping City,Shipping Country,Total (EUR),Order Total (EUR),Subtotal (EUR),Free Shipping,Shipping Method,Billing Full Name
11540,2023-01-24 16:01:34,"Product: Chiavalon Ex Albis - 500ml X 1 = €23.09. Product: - Volume: 500ml. Product: Olive Oil Chiavalon Organic - 250ml X 1 = €13.01. Product: - Volume: 250ml. Product: Oblica Organic Olive Oil Ante Sladic X 1 = €11.41. Product: Olive Oil Belić Selekcija - 250ml X 1 = €13.94. Product: - Volume: 250ml. Product: Olive Oil Belić Ascolana Tenera - 250ml X 1 = €13.94. Product: - Volume: 250ml. Product: Olive Oil Belić Vodnjanska Crnica - 250ml X 1 = €13.94. Product: - Volume: 250ml. Product: Olive Oil Kota Blend - 250ml X 1 = €12.21. Product: - Volume: 250ml. Product: Olive Oil Kota Lastovka - 250ml X 1 = €12.21. Product: - Volume: 250ml. Product: Olive Oil Istarska Bjelica Oio Vivo X 1 = €21.24. Product: Olive Oil Chiavalon Atilio - 250ml X 1 = €13.01. Product: - Volume: 250ml. Product: Olive Oil Belić Buža - 250ml X 1 = €13.94. Product: - Volume: 250ml. Product: Fakin Malvazija Istarska Wine 0,75L X 1 = €12.61. Product: Jakopić Pušipel Wine 0,75L X 1 = €12.74. Product: Ante Sladić Lasina Opol Wine 0,75L X 1 = €12.21. Product: Truffles Karlić and Champignons X 1 = €15.93. Product: Zigante Tartufata Truffle Blend X 1 = €13.27. Product: Tartufata White Truffles Karlić - 90g X 1 = €13.27. Product: - Volume: 90g. Product: Istrian Salami Chopped Pork Black Truffle Karlić X 1 = €8.00. Product: Zigante Istrian Dry Sausage with Black Truffles X 2 = €23.90. Product: Zigante Balsamico with White Truffles X 1 = €17.92. Product: Aura Teranino - 700ml (#38859892613365) X 1 = €21.00. Product: - Volume: 700ml. Product: Sheep Cheese With Truffles Karlić - 200g X 1 = €13.01. Product: - Volume: 200g. Product: Goat Cheese with Truffles Zigante X 1 = €21.24. ",44.93,Stripe Safe Card,5.74,wc-completed,RO,2023-01-25 16:47:23,Timisoara,RO,391.97,391.97,347.04,True,Europe 3,Derrick Charles
11492,2023-01-22 21:08:40,Product: Aura Medenica - 700ml (#3859892613457) X 1 = €23.23. Product: - Volume: 700ml. Product: Aura Šipak - 700ml X 1 = €23.23. Product: - Volume: 700ml. Product: Aura Orancello X 1 = €26.54. ,26.8,PayPal,,wc-completed,FR,2023-01-22 21:08:43,la fare les oliviers,FR,99.8,99.8,73.0,False,Europe 2,Cory Bishop
11474,2023-01-22 11:23:54,Product: Aura Biska Brandy - 700ml X 3 = €69.69. Product: - Volume: 700ml. ,20.8,PayPal,,wc-completed,DE,2023-01-22 11:23:56,Augsburg,DE,90.49,90.49,69.69,False,Europe 1,Michael Peterson
11395,2023-01-18 18:18:33,"Product: Fakin Malvazija Istarska Wine 0,75L X 12 = €151.32. ",24.0,Stripe Safe Card,2.7,wc-completed,AT,2023-01-18 18:18:38,Warth,AT,175.32,175.32,151.32,False,Europe 1,Olivia Riley
11076,2023-01-14 13:29:20,Product: Old Pilot's Gin X 1 = €50.43. ,25.47,PayPal,,wc-completed,LU,2023-01-14 13:29:24,Mondercange,LU,75.9,75.9,50.43,False,Europe 2,Lori Marquez
11034,2023-01-11 15:53:13,Product: Aura Teranino 6x Pack X 1 = €119.00. ,25.47,PayPal,,wc-completed,NL,2023-01-11 15:53:16,Haarlem,NL,144.47,144.47,119.0,False,Europe 2,Teresa Davis
11018,2023-01-09 08:51:55,Product: Aura Teranino - 700ml (#38859892613365) X 2 = €46.70. Product: - Volume: 700ml. ,19.47,Stripe Safe Card,2.17,wc-completed,HU,2023-01-09 08:52:00,kobleny,HU,66.17,66.17,46.7,False,Europe 1,Derrick Roberts
10938,2023-01-06 18:51:37,Product: Aura Teranino - 700ml (#38859892613365) X 1 = €21.90. Product: - Volume: 700ml. Product: Aura Biska Brandy - 700ml X 2 = €46.70. Product: - Volume: 700ml. Product: Aura Rogač - 700ml X 1 = €23.35. Product: - Volume: 700ml. ,20.8,Stripe Safe Card,1.83,wc-completed,DE,2023-01-06 18:51:42,Altbach,DE,112.75,112.75,91.95,False,Europe 1,Jonathan French
10934,2023-01-04 17:48:25,"Product: Karbun Navy Strength Gin Aura X 1 = €48.00. Product: Agramero Gin Wine 0,75L X 1 = €34.66. ",20.8,PayPal,,wc-completed,DE,2023-01-04 17:48:27,Elmshorn,DE,103.46,103.46,82.66,False,Europe 1,Dwayne Reynolds
10925,2022-12-31 18:51:11,Product: Old Pilot's Gin X 4 = €192.00. ,26.8,PayPal,,wc-completed,NL,2022-12-31 18:51:14,Amsterdam,NL,218.8,218.8,192.0,False,Europe 2,Robert Ortiz
10922,2022-12-30 17:45:54,"Product: Deklić Rose Wine 0,75L X 12 = €121.56. ",30.67,PayPal,,wc-completed,NL,2022-12-30 17:45:57,BEDUM,NL,152.23,152.23,121.56,False,Europe 2,Michael Wilson
10920,2022-12-29 12:43:05,"Product: Korta Katarina Rose Wine 0,75L X 12 = €240.00. ",24.0,PayPal,,wc-completed,DE,2022-12-29 12:43:08,Neuss,DE,264.0,264.0,240.0,False,Europe 1,Brenda Cooper
10919,2022-12-28 12:43:08,Product: Chiavalon Ex Albis - 500ml X 1 = €22.00. Product: - Volume: 500ml. Product: Edelweisser Gin X 1 = €39.86. Product: Olive Oil Chiavalon Organic - 1L X 1 = €21.00. Product: - Volume: 1L. ,20.8,Stripe Safe Card,1.59,wc-completed,AT,2022-12-28 12:43:12,Klosterneuburg,AT,95.37,95.37,82.86,False,Europe 1,Sarah Juarez
10918,2022-12-27 13:36:21,Product: Aura Teranino - 700ml (#38859892613365) X 5 = €109.50. Product: - Volume: 700ml. ,26.8,PayPal,,wc-completed,BE,2022-12-27 13:36:23,Kessel-Lo,BE,136.3,136.3,109.5,False,Europe 2,Nancy Rogers
10917,2022-12-25 20:56:53,"Product: Malvazija Deklić Wine 0,75L X 10 = €92.00. ",30.67,Bank Transfer,,wc-completed,PL,2022-12-30 16:04:23,Skarżysko-Kamienna,PL,113.47,113.47,92.0,False,Europe 2,Christopher Brennan
10914,2022-12-22 14:19:49,Product: Sweet and Tender Gift Box X 1 = €45.14. ,3.2,Stripe Safe Card,0.86,wc-completed,HR,2022-12-22 14:19:53,Zagreb,HR,43.83,43.83,45.14,False,Croatia,Amy Berry
10907,2022-12-19 15:16:33,Product: Winter Memories Gift Box X 1 = €56.82. Product: Aura Teranino and Chocolate Christmas Gift Box X 1 = €53.63. Product: Sweet and Tender Gift Box X 1 = €45.14. Product: Wild Dreams Gift Box X 1 = €58.94. Product: Karlic Christmas Gift Box X 1 = €71.15. ,3.2,Stripe Safe Card,7.47,wc-completed,HR,2022-12-19 15:16:38,Zagreb,HR,288.88,288.88,285.68,True,Croatia,Jamie Cooper
10906,2022-12-18 16:09:22,Product: Old Pilots Christmas Gift Box X 1 = €165.12. ,3.2,Bank Transfer,,wc-completed,HR,2022-12-20 18:10:04,Split,HR,168.32,168.32,165.12,True,Croatia,Darren Medina
10905,2022-12-18 15:33:25,Product: Cidrani Apple Cider Original X 3 = €35.61. ,25.47,Stripe Safe Card,1.11,wc-completed,NL,2022-12-18 15:34:00,AMSTERDAM,NL,61.08,61.08,35.61,False,Europe 2,Dylan Manning
10892,2022-12-16 08:45:24,Product: Aura Teranino - 100ml (#3859892613358) X 9 = €54.00. Product: - Volume: 100ml. Product: Sheep Cheese With Truffles Karlić - 390g X 1 = €22.00. Product: - Volume: 390g. ,20.8,PayPal,,wc-completed,AT,2022-12-16 08:45:28,Köflach,AT,96.8,96.8,76.0,False,Europe 1,Tabitha Taylor
10891,2022-12-15 00:11:32,Product: Aura Teranino - 700ml (#38859892613365) X 3 = €65.70. Product: - Volume: 700ml. ,20.8,Stripe Safe Card,1.46,wc-completed,CZ,2022-12-15 00:11:36,Hradec Kralove,CZ,86.5,86.5,65.7,False,Europe 1,Steven Paul
10889,2022-12-14 11:31:40,"Product: Matuško Dingač Wine 0,75L X 6 = €119.16. ",29.07,PayPal,,wc-completed,FR,2022-12-14 11:32:25,Colmar,FR,148.23,148.23,119.16,False,Europe 2,Darin Tyler
10888,2022-12-14 09:59:32,Product: Karbun Dry Gin Aura - 750ml X 1 = €36.00. Product: - Volume: 750ml. ,25.47,Stripe Safe Card,1.11,wc-completed,BE,2022-12-14 09:59:36,Borgerhout (Antwerpen),BE,61.47,61.47,36.0,False,Europe 2,Brittany Vasquez
